Combinations;actual;mean;std;z-score
('ASD', 'BILIARYCHIRROSIS', 'BPD', 'SJOGRENS', 'SLE');6;0.46;1.66;3.34
('ASD', 'BILIARYCHIRROSIS', 'BPD', 'SJOGRENS', 'SZC');6;0.46;1.66;3.34
('ANOREXIA', 'BPD', 'CHRONICPAIN', 'MDD', 'MIGRAINE');6;0.46;1.66;3.34
('BPD', 'SJOGRENS', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'GOUT', 'MS', 'PARKINSONS', 'RA');6;0.46;1.66;3.34
('ASD', 'AUD', 'BPD', 'MS', 'PARKINSONS');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'MDD', 'RA', 'SJOGRENS', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'MDD', 'RA', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'MDD', 'SJOGRENS', 'SLE', 'THYROIDDISEASE');6;0.46;1.66;3.34
('SJOGRENS', 'SLE', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'MDD', 'SLE', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'SJOGRENS', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'SJOGRENS', 'SLE', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'RA', 'SJOGRENS', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'MDD', 'SJOGRENS', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'MDD', 'MS', 'SZC', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BPD', 'RA', 'SJOGRENS', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BPD', 'MS', 'SJOGRENS', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BPD', 'MDD', 'SJOGRENS', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BILIARYCHIRROSIS', 'GDM', 'GOUT', 'RA', 'SLE');6;0.46;1.66;3.34
('BPD', 'MDD', 'MS', 'THYROIDDISEASE');6;0.46;1.66;3.34
('MDD', 'SJOGRENS', 'THYROIDDISEASE');6;0.46;1.66;3.34
('ASD', 'AUD', 'BPD', 'MDD', 'PARKINSONS');6;0.46;1.66;3.34
('ASD', 'BILIARYCHIRROSIS', 'BPD', 'MDD', 'SJOGRENS');6;0.46;1.66;3.34
('MS', 'SJOGRENS', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BPD', 'SJOGRENS', 'SLE', 'THYROIDDISEASE');6;0.46;1.66;3.34
('BPD', 'GDM', 'GOUT', 'SLE');6;0.46;1.66;3.34
